STANDARD_NAME	GOBP_MITOTIC_CELL_CYCLE
SYSTEMATIC_NAME	MM3946
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_MITOTIC_CELL_CYCLE
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent. [GOC:mah, ISBN:0815316194, Reactome:69278]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0000278
FILTERED_BY_SIMILARITY	GO:1903047
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	mitotic cell cycle process
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0000278
