STANDARD_NAME	GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING
SYSTEMATIC_NAME	MM7789
COLLECTION	M5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING
NAMESPACE	Mouse_NCBI_Gene_ID
DESCRIPTION_BRIEF	A cell cycle checkpoint that detects and negatively regulates progression from G1 to S phase as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0044819
FILTERED_BY_SIMILARITY	GO:0031571
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	mitotic G1 DNA damage checkpoint signaling
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0044819
SOURCE_MEMBERS	104418,12366,12443,12575,12795,12905,13924,17246,17829,18854,19090,19891,19941,208768,22040,22059,22264,225131,227331,234736,26931,52679,56190,57913,67941,76454
GENE_SYMBOLS	Dgkz,Casp2,Ccnd1,Cdkn1a,Plk3,Cradd,Ptprv,Mdm2,Muc1,Pml,Prkdc,Rpa2,Rpl26,Sde2,Trex1,Trp53,Prap1,Wac,Gigyf2,Rfwd3,Ppp2r5c,E2f7,Rbm38,Pidd1,Rps27l,Fbxo31
FOUNDER_NAMES	
