STANDARD_NAME	HALLMARK_APOPTOSIS
SYSTEMATIC_NAME	MM3869
COLLECTION	MH
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/HALLMARK_APOPTOSIS
NAMESPACE	MGI_ID
DESCRIPTION_BRIEF	Mouse genes annotated to HALLMARK_APOPTOSIS based on orthology mappings provided by the Alliance Genome Consortium
DESCRIPTION_FULL	
PMID	30224793
GEOID	
AUTHORS	Howe DG,Blake JA,Bradford YM,Bult CJ,Calvi BR,Engel SR,Kadin JA,Kaufman TC,Kishore R,Laulederkind SJF,Lewis SE,Moxon SAT,Richardson JE,Smith C
CONTRIBUTOR	Mouse Genome Informatics (MGI)
CONTRIBUTOR_ORG	The Jackson Laboratory (JAX)
EXACT_SOURCE	Alliance Genome Consortium orthologs based on HALLMARK_APOPTOSIS
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS
SOURCE_MEMBERS	MGI:101769,MGI:101802,MGI:102709,MGI:103075,MGI:103290,MGI:104537,MGI:104556,MGI:104565,MGI:104637,MGI:104724,MGI:104767,MGI:104772,MGI:104798,MGI:104799,MGI:104814,MGI:104887,MGI:105084,MGI:105102,MGI:105123,MGI:106530,MGI:106915,MGI:107172,MGI:107373,MGI:107414,MGI:107465,MGI:107474,MGI:107490,MGI:107508,MGI:107572,MGI:107655,MGI:107657,MGI:107700,MGI:107739,MGI:107776,MGI:107799,MGI:107822,MGI:107927,MGI:107931,MGI:107936,MGI:107941,MGI:107949,MGI:108042,MGI:108052,MGI:108093,MGI:108384,MGI:108392,MGI:109247,MGI:109284,MGI:109347,MGI:109383,MGI:109384,MGI:109532,MGI:1098272,MGI:1098280,MGI:1100518,MGI:1196227,MGI:1197007,MGI:1197519,MGI:1202717,MGI:1206591,MGI:1261423,MGI:1270129,MGI:1277950,MGI:1298204,MGI:1306780,MGI:1312921,MGI:1330841,MGI:1332659,MGI:1336166,MGI:1337994,MGI:1339968,MGI:1339975,MGI:1350933,MGI:1351484,MGI:1353611,MGI:1859216,MGI:1889549,MGI:1913391,MGI:1913843,MGI:1914692,MGI:1918190,MGI:1919418,MGI:1921256,MGI:1921506,MGI:1928895,MGI:1929538,MGI:1930146,MGI:2139667,MGI:2176433,MGI:2384892,MGI:2385071,MGI:2388480,MGI:2444672,MGI:2670976,MGI:3045421,MGI:87918,MGI:88059,MGI:88139,MGI:88158,MGI:88177,MGI:88222,MGI:88276,MGI:88313,MGI:88314,MGI:88318,MGI:88320,MGI:88338,MGI:88343,MGI:88380,MGI:88423,MGI:94872,MGI:95394,MGI:95410,MGI:95411,MGI:95481,MGI:95484,MGI:95675,MGI:95770,MGI:95804,MGI:95851,MGI:95861,MGI:95893,MGI:96079,MGI:96157,MGI:96163,MGI:96240,MGI:96435,MGI:96441,MGI:96542,MGI:96543,MGI:96544,MGI:96559,MGI:96590,MGI:96646,MGI:96692,MGI:96770,MGI:96778,MGI:96794,MGI:96819,MGI:96977,MGI:97009,MGI:97295,MGI:97302,MGI:97309,MGI:97531,MGI:97551,MGI:97610,MGI:97856,MGI:98233,MGI:98351,MGI:98352,MGI:98386,MGI:98483,MGI:98726,MGI:98752,MGI:98753,MGI:98754,MGI:98790,MGI:99255,MGI:99701,MGI:99702
GENE_SYMBOLS	Mcl1,F2r,Cav1,Wee1,Rela,Brca1,Cdkn1a,Cdkn1b,Tgfbr3,Fdxr,Gpx4,Cdk2,Tnf,Pea15a,Ier3,Gpx1,Satb1,Gpx3,Gucy2e,Plppr4,Vdac2,Ppp3r1,Dnajc3,Tnfsf10,Plcb2,Cd38,Pdcd4,Ereg,Xiap,Ifngr1,Ifnb1,Casp4,Casp3,Gadd45b,Gadd45a,Ebp,Rock1,Sqstm1,Il18,Emp1,Rhob,Ccna1,Bcl2l2,Bid,Btg2,Slc20a1,Ddit3,Psen2,Lum,Casp7,Atf3,Btg3,Rnasel,Crebbp,Smad7,Dffa,Birc3,Bcl2l11,Psen1,Bik,Casp8,Dnaja1,Casp9,Ppt1,Egr3,Casp6,Bcl2l10,Bnip3l,Cflar,Bcl10,Cth,Pak1,Bcap31,Tnfrsf12a,Sc5d,Avpr1a,Txnip,Ifitm3,Diablo,Retsat,Dap,Aifm3,Dnm1l,Cyld,Isg20,Dap3,Pmaip1,Dpyd,Bmf,Rhot2,Etf1,Ppp2r5b,Madd,Fez1,Ank,Add1,App,Bcl2l1,Bgn,Bmp2,Tspo,Ctnnb1,Ccnd1,Ccnd2,Cd14,Cd2,Cd44,Cd69,F2,Clu,Dcn,Eno2,Erbb2,Erbb3,Ptk2,Fas,Gch1,Gna15,Gsr,Gsn,Gstm2,H1f0,Hgf,Hmgb2,Hmox1,Hspb1,Igf2r,Igfbp6,Il1a,Il1b,Casp1,Il6,Irf1,Jun,Krt18,Lef1,Lgals3,Lmna,Anxa1,Mgmt,Mmp2,Casp2,Nedd9,Nefh,Pdgfrb,Prf1,Plat,Rara,Sat1,Sod1,Sod2,Sptan1,Tap1,Tgfb2,Timp1,Timp2,Timp3,Top2a,Fasl,Cdc25b,Bax
FOUNDER_NAMES	
