STANDARD_NAME	HALLMARK_G2M_CHECKPOINT
SYSTEMATIC_NAME	MM3868
COLLECTION	MH
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/HALLMARK_G2M_CHECKPOINT
NAMESPACE	MGI_ID
DESCRIPTION_BRIEF	Mouse genes annotated to HALLMARK_G2M_CHECKPOINT based on orthology mappings provided by the Alliance Genome Consortium
DESCRIPTION_FULL	
PMID	30224793
GEOID	
AUTHORS	Howe DG,Blake JA,Bradford YM,Bult CJ,Calvi BR,Engel SR,Kadin JA,Kaufman TC,Kishore R,Laulederkind SJF,Lewis SE,Moxon SAT,Richardson JE,Smith C
CONTRIBUTOR	Mouse Genome Informatics (MGI)
CONTRIBUTOR_ORG	The Jackson Laboratory (JAX)
EXACT_SOURCE	Alliance Genome Consortium orthologs based on HALLMARK_G2M_CHECKPOINT
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT
