GENE NAMES,,,,,,,,,,,,,,,,,,,,,,,,
Low-output_Rodriguez_et_al,High-output_Rodriguez_et_al,Multilineage_Rodriguez_et_al,Mk-bias_Rodriguez_et_al,Serial-engraftment_Rodriguez_et_al,Stemscore_Giladi_et_al,RACFP_DIM_Lauridsen_et_al,SuMO_Wilson_et_al,MolO_Wilson_et_al,HSC_vs_MPP4_Cabezas-Wallscheid_et_al,dHSC_vs_aHSC_Cabezas-Wallscheid_et_al,HSC_Pietras_et_al,HSC1 cluster,HSC2 cluster,HSC3 cluster,HSC4 cluster,dHSC_aHSC_single-cell_Cabezas-Wallscheid_et_al,,,,,,,,
Mpl,Plac8,Plac8,Ifitm3,Ifitm1,1110017F19Rik,Ltb,Ly6a,Procr,Prss41,Bst1,Fzd3,Hlf,Fos,Ppia,Jun,ENSMUSG00000064339,,,,,,,,
Ifitm3,H2afy,H2afy,Rbms3,Tsc22d1,2410006H16Rik;Snord65,Lst1,Ifitm1,Pdzk1ip1,Sh3gl3,ENSMUSG00000080851,Lhcgr,mt-Co1,Zfp36,Ptma,Egr1,ENSMUSG00000098178,,,,,,,,
Ifitm1,Cdk6,Mpo,Ifitm1,Mycn,2900062L11Rik;6530401D17Rik,Ypel3,Inhba,Ltb,Ncam2,Ace,Kif21a,Ifitm3,Junb,Tuba1b,Ier2,CYTB,,,,,,,,
Tgm2,Cd34,Elane,Adgrg1,Vwf,4931406C07Rik,Ly6a,Mllt3,Mllt3,Sh3rf3,Blk,Pabpc4l,Mpl,Jun,Stmn1,Plac8,Serpinb1a,,,,,,,,
H2-K1,Nkg7,Ybx1,Tsc22d1,Glul,AK046388,Ctsf,Wfdc2,Ifitm1,Ak7,Gpr35,Abcg3,Iigp1,Jund,Hmgb2,Ptma,Actb,,,,,,,,
Socs2,Ptma,Car1,Tgm2,Procr,AK079675,Ifitm1,Ifitm3,Gimap1,Fam83h,Sh2d2a,Dlg2,mt-Cytb,Dusp1,Cdk6,Apoe,COX2,,,,,,,,
Mycn,Mpo,Hba-a1,Nupr1,Nupr1,AK197603;Uba7;AK157941;Cdh29;Ube1l;D330022A01Rik;Cdhr4;Ip6k1,Meg3,Gbp6,Gimap6,Dusp26,Il13ra1,Arhgap29,Socs2,Nr4a1,H2afz,H2afz,ENSMUSG000001020,,,,,,,,
Nupr1,Cd48,Stmn1,S100a6,Pik3r1,Acot1,H2-Aa,Ramp2,Limd2,Pla2g7,Cebpe,Mmrn1,Mllt3,Egr1,Plac8,Ppia,ENSMUSG00000101111,,,,,,,,
Hacd4,Stmn1,Cdk6,Mpl,Pim1,Aldoc,Eno2,Sult1a1,Trim47,Tgfa,Lcn2,Ctnnal1,mt-Nd4,Ier2,Eif5a,Junb,ATP6,,,,,,,,
Mllt3,Fam117a,Ctsg,Mllt3,Hlf,B144;Lst1,Procr,Gbp8,Neil2,Bmper,Col8a2,Nckap1,H2-Eb1,H3f3b,H2afy,Hmgb2,B2m,,,,,,,,
Gda,Slc22a3,Ppia,Sult1a1,Mt1,Basp1,Cd74,Ablim1,Vwf,I830012O16Rik,Tnfrsf19,Itm2a,Mycn,Rgs1,Hdgf,Btg2,ENSMUSG00000100862,,,,,,,,
B2m,Adgrg3,H2afz,Socs2,Matn4,Bgn,Pim1,Ralgapa1,Pde1b,Pon1,Gp49a,Akap7,Clec2d,Ppp1r15a,Fam117a,H3f3b,COX3,,,,,,,,
Procr,Ppia,Cd34,Glul,Mllt3,Car2,Dlgap4,Cd74,Neo1,Csdc2,Rnf39,Tbxas1,Hacd4,Btg2,Hnrnpab,Nr4a1,ENSMUSG00000083863,,,,,,,,
Txnip,Car1,Hnrnpa2b1,Procr,Art4,Cd27,Pbxip1,Cyp27a1,Sqrdl,Gm14252,LOC101055671,Fam110c,Itm2b,Rgs2,Actb,Nkg7,Malat1,,,,,,,,
Clu,Ctsg,Dut,Trim47,St3gal1,Cd274,Gimap6,Procr,Sult1a1,Gprc5c,Mcemp1,Evi1,Mecom,Klf6,Ran,Stmn1,Mrpl50,,,,,,,,
Sult1a1,Flt3,Hbb-bs,Lmo2,Mt2,Cd74,B230378P21Rik,St8sia4,Cd82,Cldn4,Pid1,Tek,H2-Aa,Tsc22d1,Snrpd1,H3f3a,COX1,,,,,,,,
S100a6,Lgals1,Tuba1b,Mycn,Selp,Cd81,BC005764,Gm4951,Ramp2,Gm14207,Wfdc21,Gbp4,Gstm1,Hes1,Mcm6,Pf4,Gm11974,,,,,,,,
Rpl36a,Muc4,Nkg7,Hacd4,Prtn3,Cish,Sult1a1,Ly6e,Ubl3,Gbp10,Clmp,Slc6a15,Procr,Rhob,Lgals9,Cdk6,Farsa,,,,,,,,
Tsc22d1,Gpx1,Mcm7,H2-K1,Fut8,Clip3,Stxbp4,Ndnf,Ly6a,Ccr5,Ccr2,Tnip3,S100a6,Mcl1,Slc25a5,Jund,ENSMUSG00000064337,,,,,,,,
Gng11,Hmgb2,2810417H13Rik,Selp,Adgrg1,Dapp1,Gm14302,Mapk12,Cdkn1c,Slc19a3,Mmp9,Plxdc2,Ly6a,Cdkn1a,Ybx1,Hdgf,ND4,,,,,,,,
Ccnd2,Ndufa4,Cks1b,S100a9,Hoxb8,Dkkl1,Zfp467,Tgtp2,Fgfr3,2010015L04Rik,Cd2,4930470H14Rik,Tnip3,Ier3,Serbp1,Cks2,Rps21,,,,,,,,
mt-Co3,Serpinb1a,Ap3s1,Rps14,Ifitm3,Eltd1,Ifit1,,Cldn10,Chst7,Ms4a4b,Rapgef4,mt-Co2,Klf2,Cdk4,Itga2b,Cs,,,,,,,,
Tmem176b,Ccl9,Hnrnph1,Rpl13,Ptk2b,Fchsd2;mKIAA0769,Carns1,,Ptpn14,Panx2,Ifitm6,Myom1,Mettl7a1,Cebpb,Rps17,Hist1h2ap,ND1,,,,,,,,
Lmo2,Oaz1,Hmgb2,Ly6a,Lmo2,Gabarapl1,Gstm1,,Mettl7a1,Ccdc152,ENSMUSG00000096982,Lrrc66,H2-K1,Nfkbiz,Dut,Car1,Entpd7,,,,,,,,
