,gene_symbol
0,Babam2
1,Nabp1
2,Atm
3,Bard1
4,Blm
5,Brca1
6,Ccng1
7,Cdk1
8,Cdkn1a
9,Chek1
10,Hus1
11,Ier3
12,Mbd4
13,Mre11a
14,Orc1
15,Plk1
16,Rad17
17,Rad50
18,Uimc1
19,Hus1b
20,Brcc3
21,Taok1
22,Rbbp8
23,Ints3
24,Chfr
25,Nae1
26,Topbp1
27,Cdc6
28,Atr
29,Creb3l1
30,Clspn
31,Mbtps2
32,Nbn
33,Taok3
34,Brcc3dc
35,Taok2
36,Brsk1
37,Foxo4
38,Fzr1
39,Mbtps1
40,Donson
41,Inip
42,Zfp830
43,Pabir1
44,Mrnip
45,Nop53
46,Etaa1
47,Babam1
48,Syf2
49,Nabp2
50,Abraxas1
51,D7Ertd443e
52,Foxn3
53,Rint1
54,Pabir3
55,Dtl
56,Ticrr
57,Trim39
58,Cdk5rap3
