,gene_symbol
0,Ube2srt
1,Snhg15
2,Rcc1
3,Mir664
4,Kifc1
5,Arhgap33os
6,Trrap
7,Tada3
8,Numa1
9,Champ1
10,Exoc8
11,Enkd1
12,Hinfp
13,Bbs4
14,Cenpi
15,Fbxw11
16,Tubg1
17,Tubg2
18,Bap1
19,Dgkz
20,Exoc5
21,Chmp7
22,Scrib
23,Mtbp
24,Espl1
25,Prickle1
26,Tcf19
27,Psmg2
28,Gbf1
29,Exoc6
30,Bmyc
31,Babam2
32,Cdc20
33,Cenpf
34,Camk2d
35,Tbcd
36,Nusap1
37,Rcc2
38,Cdca2
39,E2f8
40,Tpr
41,Nabp1
42,Pkn2
43,Abraxas2
44,Kif22
45,Ptpa
46,D1Pas1
47,Abl1
48,Actb
49,Rad51c
50,Acvr1
51,Acvr1b
52,Adam17
53,Adamts1
54,Aif1
55,Akt1
56,Vps4a
57,Lsm10
58,Mta3
59,Stk33
60,Ank3
61,Apc
62,Apex1
63,Birc5
64,App
65,Arf1
66,Arf6
67,Gjc2
68,Rhoa
69,Rhob
70,Rhoc
71,Atf2
72,Atm
73,Bard1
74,Phb2
75,Bcl2
76,Bcl7b
77,Bcl7c
78,Bid
79,Blm
80,Bmp4
81,Bmp7
82,Brca1
83,Brca2
84,Zfp36l1
85,Zfp36l2
86,Btc
87,Btg1
88,Btg2
89,Btg3
90,Bub1
91,Bub1b
92,Bub3
93,Cacnb4
94,Calm1
95,Calm2
96,Calm3
97,Camk2a
98,Camk2b
99,Camk2g
100,Casp2
101,Ctnnb1
102,Ccna1
103,Ccna2
104,Ccnb2
105,Ccnd1
106,Ccnd2
107,Ccnd3
108,Ccne1
109,Ccne2
110,Ccnf
111,Ccng1
112,Ccng2
113,Ccni
114,Cd28
115,Cdc25a
116,Cdc25b
117,Cdc25c
118,Cdk1
119,Cdk11b
120,Cdc42
121,Cdc45
122,Cdc7
123,Cdk2
124,Cdk4
125,Cdk6
126,Cdk7
127,Cdkn1a
128,Cdkn1b
129,Cdkn1c
130,Cdkn2a
131,Cdkn2b
132,Cdkn2c
133,Cdkn2d
134,Cenpa
135,Cenpc1
136,Cfl1
137,Chek1
138,Cit
139,Plk3
140,Cradd
141,Crebbp
142,Smc3
143,Cyp1a1
144,Dapk3
145,Daxx
146,Dctn1
147,Ddb1
148,Ddx3x
149,Dlg1
150,Dync1h1
151,Drd3
152,Drg1
153,E2f1
154,E2f3
155,E2f5
156,E4f1
157,Mapre1
158,Ect2
159,Edn1
160,Edn3
161,Ednra
162,Egf
163,Egfr
164,Eif4e
165,Eif4ebp1
166,Stx2
167,Eps8
168,Ercc2
169,Ercc3
170,Ereg
171,Ptprv
172,Esr1
173,Eya1
174,Ezh2
175,Fgf10
176,Fgf8
177,Fgfr1
178,Fgfr2
179,Fgfr3
180,Fhl1
181,Smc2
182,Foxm1
183,Fzd3
184,Gas1
185,Gem
186,Gnai1
187,Pdpn
188,Haspin
189,Ptpn6
190,Hdac3
191,Htt
192,Hes1
193,Foxg1
194,Hmgb1
195,Foxa1
196,Hnf4a
197,Hoxa13
198,Prmt2
199,Hsf1
200,Hspa2
201,Hus1
202,Hyal1
203,Id2
204,Id4
205,Ier3
206,Igf1
207,Igf1r
208,Igf2
209,Il1a
210,Il1b
211,Kpnb1
212,Incenp
213,Inhba
214,Cep250
215,Ins1
216,Ins2
217,Insr
218,Itgb1
219,Kcna5
220,Kif11
221,Kif2a
222,Kif3b
223,Kif4
224,Kifc5b
225,Kifc2
226,Klf4
227,Stmn1
228,Lats1
229,Arhgef2
230,Lig1
231,Lipa
232,Lmnb1
233,Anxa1
234,Recql5
235,Snx18
236,Mad1l1
237,Ascl1
238,Mbd4
239,Mcm3
240,Mcm2
241,Mcm4
242,Mcm6
243,Anapc1
244,Mdm2
245,Men1
246,Met
247,Foxc1
248,Mki67
249,Mnat1
250,Mre11a
251,Meis2
252,Msh2
253,Sik1
254,Map4
255,Muc1
256,Myb
257,Mybl1
258,Mybl2
259,Myc
260,Ppp1r12a
261,Ndp
262,Nedd1
263,Nek2
264,Nes
265,Neurog1
266,Nfatc1
267,Nfe2l1
268,Nfia
269,Nfib
270,Nfix
271,Nkx3-1
272,Uhrf1
273,Ddr2
274,Nudc
275,Nup62
276,Orc1
277,Ovol1
278,Pafah1b1
279,Pax6
280,Pbx1
281,Kat2b
282,Pcna
283,Pcnt
284,Pdcd6ip
285,Pdgfb
286,Pdgfrb
287,Cdk14
288,Abcb1b
289,Abcb1a
290,Pim2
291,Prkca
292,Prkcq
293,Pkd1
294,Pkd2
295,Pkia
296,Plcb1
297,Plk1
298,Pml
299,Pola1
300,Pole
301,Ppp2ca
302,Ppp2cb
303,Ppp2r3d
304,Ppp3ca
305,Prkdc
306,Prpf4b
307,Lgmn
308,Psme1
309,Psme2
310,Psme3
311,Ptch1
312,Pten
313,Flna
314,Ptpn11
315,Ripor2
316,Kif20a
317,Rad17
318,Rad21
319,Rad50
320,Rad51
321,Rad51b
322,Rad9a
323,Eme2
324,Ran
325,Ranbp1
326,Klf11
327,Btg1c
328,Rb1
329,Rbl1
330,Rbl2
331,Rdx
332,Dpf2
333,Rnf2
334,Rock1
335,Rock2
336,Rpa2
337,Rpl26
338,Rps6
339,Rrm1
340,Rrm2
341,Rtkn
342,Uimc1
343,Exoc4
344,Sh2b1
345,Stil
346,Sin3a
347,Vps4b
348,Slfn1
349,Smarca4
350,Smarcb1
351,Smarcc1
352,Plk2
353,Son
354,Sphk1
355,Sptbn1
356,Chmp6
357,Stag1
358,Stag2
359,Stat5a
360,Stat5b
361,Nek11
362,Kntc1
363,Eif4g1
364,Aurkc
365,Dis3l2
366,Sde2
367,Aurkb
368,Aurka
369,Ccnb3
370,Gen1
371,Sycp3
372,Ttc28
373,Hus1b
374,Brcc3
375,Exoc3
376,Fancd2
377,Zfyve26
378,Spice1
379,Tacc3
380,Tal1
381,Map9
382,Tcf3
383,Nudt15
384,Cdk5rap2
385,Cdc73
386,Brinp3
387,Ncaph
388,Rab11fip3
389,Stox1
390,Zfp365
391,Plk5
392,Appl2
393,Dynlt1b
394,Tom1l2
395,Usp22
396,Cntrob
397,Taok1
398,Nle1
399,Tada2a
400,Cdc27
401,Tert
402,Nek9
403,Nrde2
404,Tgfa
405,Tgfb1
406,Cdc14b
407,Timp2
408,Ccno
409,Tk1
