,gene_symbol
0,Mcl1
1,F2r
2,Cav1
3,Wee1
4,Rela
5,Brca1
6,Cdkn1a
7,Cdkn1b
8,Tgfbr3
9,Fdxr
10,Gpx4
11,Cdk2
12,Tnf
13,Pea15a
14,Ier3
15,Gpx1
16,Satb1
17,Gpx3
18,Gucy2e
19,Plppr4
20,Vdac2
21,Ppp3r1
22,Dnajc3
23,Tnfsf10
24,Plcb2
25,Cd38
26,Pdcd4
27,Ereg
28,Xiap
29,Ifngr1
30,Ifnb1
31,Casp4
32,Casp3
33,Gadd45b
34,Gadd45a
35,Ebp
36,Rock1
37,Sqstm1
38,Il18
39,Emp1
40,Rhob
41,Ccna1
42,Bcl2l2
43,Bid
44,Btg2
45,Slc20a1
46,Ddit3
47,Psen2
48,Lum
49,Casp7
50,Atf3
51,Btg3
52,Rnasel
53,Crebbp
54,Smad7
55,Dffa
56,Birc3
57,Bcl2l11
58,Psen1
59,Bik
60,Casp8
61,Dnaja1
62,Casp9
63,Ppt1
64,Egr3
65,Casp6
66,Bcl2l10
67,Bnip3l
68,Cflar
69,Bcl10
70,Cth
71,Pak1
72,Bcap31
73,Tnfrsf12a
74,Sc5d
75,Avpr1a
76,Txnip
77,Ifitm3
78,Diablo
79,Retsat
80,Dap
81,Aifm3
82,Dnm1l
83,Cyld
84,Isg20
85,Dap3
86,Pmaip1
87,Dpyd
88,Bmf
89,Rhot2
90,Etf1
91,Ppp2r5b
92,Madd
93,Fez1
94,Ank
95,Add1
96,App
97,Bcl2l1
98,Bgn
99,Bmp2
100,Tspo
101,Ctnnb1
102,Ccnd1
103,Ccnd2
104,Cd14
105,Cd2
106,Cd44
107,Cd69
108,F2
109,Clu
110,Dcn
111,Eno2
112,Erbb2
113,Erbb3
114,Ptk2
115,Fas
116,Gch1
117,Gna15
118,Gsr
119,Gsn
120,Gstm2
121,H1f0
122,Hgf
123,Hmgb2
124,Hmox1
125,Hspb1
126,Igf2r
127,Igfbp6
128,Il1a
129,Il1b
130,Casp1
131,Il6
132,Irf1
133,Jun
134,Krt18
135,Lef1
136,Lgals3
137,Lmna
138,Anxa1
139,Mgmt
140,Mmp2
141,Casp2
142,Nedd9
143,Nefh
144,Pdgfrb
145,Prf1
146,Plat
147,Rara
148,Sat1
149,Sod1
150,Sod2
151,Sptan1
152,Tap1
153,Tgfb2
154,Timp1
155,Timp2
156,Timp3
157,Top2a
158,Fasl
159,Cdc25b
160,Bax
