,gene_symbol
0,Plk4
1,Mybl2
2,Mcm3
3,Slc12a2
4,Tfdp1
5,E2f1
6,Hnrnpd
7,Ccnf
8,Cdc27
9,H2ax
10,E2f4
11,Atrx
12,Pura
13,Mcm5
14,Cdc25a
15,Rbl1
16,Cdkn1b
17,Tle3
18,Pml
19,Hmmr
20,Meis1
21,Mtf2
22,Rad23b
23,Cbx1
24,Mcm2
25,Hspa8
26,Cdkn2c
27,Tra2b
28,Mki67
29,Smc2
30,Mnat1
31,Hif1a
32,Tmpo
33,Aurkb
34,Efna5
35,Stil
36,Kpnb1
37,Ss18
38,Ezh2
39,Upf1
40,Rad21
41,Ccna2
42,Kif4
43,Dtymk
44,Meis2
45,Lig3
46,Kif22
47,Sqle
48,Brca2
49,Nek2
50,Nup98
51,Ctcf
52,Pafah1b1
53,Prpf4b
54,E2f3
55,E2f2
56,Wrn
57,Jpt1
58,Traip
59,Hmgb3
60,Cenpe
61,Kif11
62,Kif15
63,Kif5b
64,Stag1
65,Odf2
66,Suv39h1
67,Bub1
68,Dr1
69,Ttk
70,Pole
71,Smad3
72,Chek1
73,Birc5
74,Smarcc1
75,Nsd2
76,Hus1
77,Pbk
78,Slc7a5
79,Mcm6
80,Cdc7
81,Incenp
82,Cenpf
83,Gspt1
84,Bard1
85,Ccnt1
86,Srsf10
87,Cdc45
88,Rpa2
89,Ilf3
90,Tacc3
91,Bub3
92,Smc1a
93,Katna1
94,Cdc6
95,Mapk14
96,Orc5
97,Cul3
98,Casp8ap2
99,Racgap1
100,Exo1
101,Cul1
102,Dbf4
103,Chaf1a
104,G3bp1
105,Nup50
106,Prmt5
107,Pttg1
108,Nasp
109,Hnrnpu
110,Prc1
111,Cdc20
112,Mad2l1
113,Dkc1
114,H2az1
115,Cks1b
116,Syncrip
117,Cks2
118,Ndc80
119,Fbxo5
120,Cul4a
121,Kmt5a
122,Ddx39a
123,Ube2c
124,Smc4
125,Nolc1
126,Foxn3
127,Sfpq
128,Kif23
129,Tpx2
130,Cdkn3
131,Chmp1a
132,Rps6ka5
133,Gins2
134,Kif2c
135,Cul5
136,Knl1
137,H2az2
138,Ube2s
139,Troap
140,Sap30
141,Orc6
142,Uck2
143,Lbr
144,Pds5b
145,Atf5
146,Xpo1
147,Slc38a1
148,Espl1
149,Polq
150,Tnpo2
151,Map3k20
152,Numa1
153,Ythdc1
154,Rasal2
155,Arid4a
156,Kif20b
157,H2bc12
158,Nusap1
159,Tent4a
160,Abl1
161,Amd1
162,Slc7a1
163,Bcl3
164,Ccnb2
165,Ccnd1
166,Cdk1
167,Cdk4
168,Cenpa
169,Aurka
170,Rad54l
171,Dmd
172,Egf
173,Fancc
174,Hmga1b
175,Hoxc10
176,Stmn1
177,Lmnb1
178,Marcks
179,Myc
180,Ncl
181,Notch2
182,Odc1
183,Plk1
184,Prim2
185,Srsf1
186,Srsf2
187,Snrpd1
188,Tgfb1
189,Top1
190,Top2a
191,Hira
192,Pola2
193,Cdc25b
194,Ewsr1
