clone,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
Clone_1099,47,Neutrophil,1,0.053959359129898465,9,0.29777317698898875,3.337828069267898
Clone_123,20,Monocyte,2,0.15722704683732244,5,0.037467114762215085,6.415137112580283
Clone_1258,22,Mast,2,0.09900429193938569,3,20.624729215903553,26.133309849855884
Clone_1301,30,Monocyte,1,0.03793767532434031,4,0.06186000294475383,6.19803119852318
Clone_1305,28,Meg,1,0.0179797039386251,5,0.5550304759957555,26.428597456370337
Clone_1370,19,Baso,1,0.03926130705362045,12,0.3240291367958321,8.369059259531936
Clone_1404,27,Monocyte,1,0.04995117992427936,3,0.00964406749029162,8.884967276354372
Clone_1440,18,undiff,0,0.07226473897493672,16,0.22763692122432397,7.619776527099585
Clone_1479,17,Mast,2,0.1370584143059133,7,0.5230322542383166,7.563059149692875
Clone_1562,23,Monocyte,1,0.041945954015674455,2,0.01161538143916909,3.522021547191701
Clone_17,22,Mast,1,0.06494028098519304,4,0.6844030529191332,19.73125013077922
Clone_1967,26,Monocyte,1,0.03640561259918894,3,0.020713241978456087,2.9477736277230657
Clone_1972,13,Baso,2,0.13725123613922102,7,2.675025161902477,10.49052026525043
Clone_1998,23,Monocyte,2,0.1423182842137415,10,6.949860529104069,30.72852575861241
Clone_2039,29,Monocyte,2,0.12277062374618217,19,2.7557158962022528,11.681538709433966
Clone_2094,23,Baso,2,0.05430278738110706,7,3.8538178110131516,17.04827261695845
Clone_2109,18,Baso,1,0.07032339916594173,3,2.974747834495287,13.592385899152859
Clone_2111,20,Neutrophil,2,0.08078452418450575,18,1.6119604989013196,7.8044678698900904
Clone_2272,23,Baso,2,0.12222408058193349,5,0.2346137980849938,4.667298953752019
Clone_2281,20,Monocyte,1,0.06649945459192291,2,0.026005285019009235,1.8566046229902842
Clone_2387,32,Monocyte,1,0.045202805437437966,2,0.12215015208036642,6.436911044268188
Clone_2407,27,Monocyte,2,0.030209314460111863,2,0.0363670033133063,2.9163751445345993
Clone_2445,18,undiff,0,0.03277816679819855,4,0.24408911927943375,7.960521955494343
Clone_2490,24,Baso,1,0.0714375538299548,1,,
Clone_2585,26,Baso,1,0.06257724589752804,5,0.4887596739832424,9.400750433049533
Clone_2712,20,Monocyte,1,0.05421281879936427,3,0.08668884255758623,4.541710583071635
Clone_2735,10,Monocyte,2,0.16732301294620547,20,4.610536081132733,13.558797550667286
Clone_2768,33,Baso,3,0.05223903918151864,3,0.28138516443175327,10.327101976518657
Clone_3083,28,Monocyte,1,0.021268575073960266,3,0.029011129114977947,4.9845196559107965
Clone_3250,84,Meg,3,0.21489887254115192,5,0.7386909921268279,13.510531343329792
Clone_3269,48,Mast,2,0.06774750030996113,3,0.2311131219726578,5.349833431922124
Clone_3330,22,Neutrophil,2,0.08219859655244563,18,1.141745852155684,5.62091920165215
Clone_3336,14,Neutrophil,1,0.02905610200385194,11,0.37168596294169925,4.9470671507570785
Clone_3349,33,Monocyte,3,0.08510469065270893,2,0.007409246483237295,2.9855483489218093
Clone_3391,20,Baso,1,0.049304815246206155,2,0.0031898759376497443,10.516659247656612
Clone_3429,1,Monocyte,1,0.0,20,1.2106735172871403,6.561291108224228
Clone_3438,60,Monocyte,2,0.05403636556885514,31,1.8515856965966984,9.24900737000312
Clone_3522,41,Neutrophil,2,0.13405377074455824,6,0.7101373222154671,3.497397656656704
Clone_358,18,undiff,0,0.021143447576289647,9,0.12479959213126325,3.8640199482448963
Clone_3585,70,Baso,3,0.06845826625704189,6,2.5918908186280167,7.57290917923037
Clone_3619,24,Monocyte,1,0.03402846784521976,2,0.018038181964413612,6.091645300053623
Clone_3682,55,Baso,3,0.06771963051087009,9,0.32762931265207107,5.171878406383085
Clone_3718,29,undiff,0,0.021676354425988455,4,0.022966480440644012,5.791671691579242
Clone_3736,13,Monocyte,1,0.023466874751066718,9,1.7376384028382348,14.794947589668128
Clone_374,15,Neutrophil,1,0.06616983226232935,10,4.132377803817445,9.39538486096213
Clone_3840,46,Neutrophil,2,0.1449663979882648,35,2.0556227889900978,6.576694866473939
Clone_3887,28,Monocyte,2,0.04869020778965274,19,3.476511776859283,13.785224414532609
Clone_398,25,Meg,2,0.15351807517177313,2,4.455718918993581,12.844691127701376
Clone_401,21,undiff,0,0.009449906913408267,2,0.2927615511143181,6.016866547846647
Clone_405,24,Monocyte,2,0.05375761713677556,18,4.660732777437484,15.991837219935185
Clone_4205,16,Baso,1,0.03581221833879433,5,5.6779224662861845,30.622954423981827
Clone_4226,42,Monocyte,1,0.012150251433044212,11,0.20838978733154445,6.251213172478858
Clone_4276,23,Baso,2,0.1934655599160797,2,0.012509268371559253,3.7765158688102494
Clone_4316,9,Monocyte,2,0.04837580077314802,11,29.02447788355479,22.038395207847277
Clone_4456,16,Monocyte,1,0.036943296178177924,4,0.13814141869561275,7.263852993390859
Clone_4483,20,Neutrophil,2,0.1602617435581773,4,0.03898512500450519,4.865352645256264
Clone_449,27,Monocyte,1,0.06868739538943391,3,0.27409014173352764,5.2429907844997965
Clone_4571,27,Baso,2,0.1357723332643678,4,0.25609418945890317,7.061109485182975
Clone_4604,25,Monocyte,2,0.05356076429417436,4,0.044939384982890546,3.0536306497695627
Clone_4665,19,Neutrophil,3,0.14966562616430215,3,0.17695997318332657,9.240128549697486
Clone_4683,36,Erythroid,3,0.08348765003611086,1,,
Clone_4774,10,Neutrophil,2,0.05335751573019172,12,3.799525885687359,11.968227690319242
Clone_478,20,undiff,0,0.005217821387869499,2,0.030646718481618086,7.412988228499486
Clone_4948,17,Monocyte,2,0.14859350629385978,27,3.57026365785626,15.907369625636797
Clone_4968,30,Monocyte,2,0.10429341441030007,8,0.5435719615590234,4.13910423885042
Clone_4996,10,Neutrophil,1,0.07107146688614559,14,7.954690681829848,12.909653109980116
Clone_5034,21,Baso,1,0.159610443251006,4,0.12845476877794174,6.51458597028454
Clone_5046,25,Monocyte,2,0.036544332378646176,2,0.045417112350472855,3.935035469412358
Clone_5198,15,Baso,2,0.07567549446073076,5,0.8724133041043036,8.464522614417485
Clone_5252,21,undiff,0,0.014748342389116705,9,0.31226500236551347,7.85288886189962
Clone_5287,19,Monocyte,1,0.04374899620840231,3,0.0590240697163808,2.86214589353189
Clone_5404,33,Monocyte,2,0.05720455621213418,23,3.2381705817300763,14.366611171892627
Clone_5480,16,Monocyte,3,0.12649564163123084,10,7.337588514932368,18.383384883823638
Clone_5483,31,Baso,2,0.09449253928666737,7,0.04005269263211243,3.614142967506261
Clone_5487,10,Mast,1,0.04127145001699628,11,0.7283743790979443,9.897448906559015
Clone_5518,17,undiff,0,0.014316176176095553,4,0.011291597163589453,2.3765065038163797
Clone_5523,19,undiff,0,0.0050717912745230735,2,0.0014205264430334596,9.100217444356625
Clone_5526,17,Monocyte,1,0.031230358387934264,3,0.03602799911927636,5.257854544433243
Clone_569,19,Monocyte,1,0.05450518504582877,3,0.07908025592995396,5.453396173682699
Clone_5717,37,Mast,2,0.11087369308289872,3,0.8247957661025747,5.866889794030414
Clone_5748,26,undiff,0,0.032069898139824284,5,0.034482824066289844,7.943323453209238
Clone_5791,21,Baso,3,0.1665301798686713,21,4.142258093309941,17.87387451481119
Clone_5793,12,Meg,1,0.05049900483188226,8,1.3444364651155936,5.807091296949124
Clone_5842,31,Meg,1,0.21745360025943325,11,0.8956015221870341,8.828171208356217
Clone_685,18,Monocyte,2,0.0948658829099985,21,2.2438547105633093,9.754974854131712
Clone_722,18,undiff,0,0.03728958569635448,2,0.014897505819378041,5.770397204110029
Clone_766,37,Neutrophil,2,0.1210815502835224,38,3.508582348949434,9.398724839588569
Clone_777,22,Erythroid,2,0.17489720952718177,1,,
Clone_862,21,undiff,0,0.030167572564979702,3,0.026815525245022287,6.807423705182
Clone_961,23,Monocyte,1,0.052456917900614165,1,,
Clone_965,11,Neutrophil,1,0.04335901937142737,9,0.32812961290615106,4.715085674223594
Clone_971,29,Monocyte,2,0.06889340954070368,3,0.15478277288639583,18.18883813482805
