method,space,clone,w2_raw_mean,w2_raw_std,w2_scaled_mean,n_runs,clone_size_src,clone_size_tgt,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
DeepRUOT,dm10,Clone_1099,0.010156895459040225,0.00034351032463635376,0.010156895459040225,4,9,47,47,Neutrophil,1,0.053959359129898465,9,0.29777317698898875,3.337828069267898
DeepRUOT,dm10,Clone_123,0.00619763311783555,0.0007471295958725513,0.00619763311783555,4,5,20,20,Monocyte,2,0.15722704683732244,5,0.037467114762215085,6.415137112580283
DeepRUOT,dm10,Clone_1258,0.006870998285253175,0.000235429094278683,0.006870998285253175,4,3,22,22,Mast,2,0.09900429193938569,3,20.624729215903553,26.133309849855884
DeepRUOT,dm10,Clone_1301,0.0043159382909907,0.0006138749592810633,0.0043159382909907,4,4,30,30,Monocyte,1,0.03793767532434031,4,0.06186000294475383,6.19803119852318
DeepRUOT,dm10,Clone_1305,0.004129483064650825,0.00023789591279564458,0.004129483064650825,4,5,28,28,Meg,1,0.0179797039386251,5,0.5550304759957555,26.428597456370337
DeepRUOT,dm10,Clone_1370,0.0031924383969862253,0.0010929985623152926,0.0031924383969862253,4,12,19,19,Baso,1,0.03926130705362045,12,0.3240291367958321,8.369059259531936
DeepRUOT,dm10,Clone_1404,0.00551037902442985,0.0007027038690525046,0.00551037902442985,4,3,27,27,Monocyte,1,0.04995117992427936,3,0.00964406749029162,8.884967276354372
DeepRUOT,dm10,Clone_1440,0.00291731221701305,0.0006542822812684689,0.00291731221701305,4,16,18,18,undiff,0,0.07226473897493672,16,0.22763692122432397,7.619776527099585
DeepRUOT,dm10,Clone_1479,0.007547265001041475,0.0006925629343567147,0.007547265001041475,4,7,17,17,Mast,2,0.1370584143059133,7,0.5230322542383166,7.563059149692875
DeepRUOT,dm10,Clone_1562,0.0071662697855348996,0.0006648225875561337,0.0071662697855348996,4,2,23,23,Monocyte,1,0.041945954015674455,2,0.01161538143916909,3.522021547191701
DeepRUOT,dm10,Clone_17,0.0038036456050448003,0.0002415442454572708,0.0038036456050448003,4,4,22,22,Mast,1,0.06494028098519304,4,0.6844030529191332,19.73125013077922
DeepRUOT,dm10,Clone_1967,0.003869923951037,0.0006628280368772629,0.003869923951037,4,3,26,26,Monocyte,1,0.03640561259918894,3,0.020713241978456087,2.9477736277230657
DeepRUOT,dm10,Clone_1972,0.007416545603802574,0.0005785584254924515,0.007416545603802574,4,7,13,13,Baso,2,0.13725123613922102,7,2.675025161902477,10.49052026525043
DeepRUOT,dm10,Clone_1998,0.00642121570773965,0.0005594675086642032,0.00642121570773965,4,10,23,23,Monocyte,2,0.1423182842137415,10,6.949860529104069,30.72852575861241
DeepRUOT,dm10,Clone_2039,0.00372750481741335,0.0005735395259321355,0.00372750481741335,4,19,29,29,Monocyte,2,0.12277062374618217,19,2.7557158962022528,11.681538709433966
DeepRUOT,dm10,Clone_2094,0.00497884344215785,0.0008672580547321768,0.00497884344215785,4,7,23,23,Baso,2,0.05430278738110706,7,3.8538178110131516,17.04827261695845
