method,space,median_w2,mean_w2,std_w2,CV,n_clones,n_runs
OTCFM,dm10,0.00454292242589185,0.0053798339991053355,0.003726476041296913,0.6926749118869885,92,3
SF2M,dm10,0.0051668497095868505,0.0059626901843959825,0.0033247250524565427,0.5575880935684294,92,3
TrajectoryNet,dm10,0.00537316175342535,0.006099311729197608,0.003606073715365278,0.5912263342932421,92,3
scDiffEq,dm10,0.0056306709810465,0.006418095948309626,0.0033102426588465044,0.5157670881686248,92,3
DeepRUOT,dm10,0.00563617026364185,0.006168422133287431,0.003220548332766001,0.522102453946294,92,4
pdp+,dm10,0.0057393318949699006,0.006414452344074327,0.0038305362354174753,0.5971727639314564,92,1
TIGON,dm10,0.00590078195724155,0.00598154242845533,0.003571424655470946,0.5970741992033698,92,3
MIOFlow,dm10,0.0067799900132896,0.007060756518293099,0.0028178473988778596,0.39908576249263716,87,3
PRESCIENT,dm10,0.00749410865923325,0.008491437983864664,0.004058061217615545,0.47790035390079133,92,3
scDiffEq,pc30,11.845493770640715,13.006151110867444,5.462086887573017,0.4199618196815433,92,3
DeepRUOT,pc30,12.340019324622325,12.955810047324697,4.608193449684251,0.3556854749221811,92,4
pdp+,pc30,12.613590015787121,13.474809016578249,5.196811301383351,0.3856686425009542,92,1
TIGON,pc30,13.461595116664338,14.150508866982369,5.454531954782295,0.3854654278553509,92,3
SF2M,pc30,13.464938824518786,14.360965312182827,4.394966995642975,0.30603562505053866,92,3
PRESCIENT,pc30,13.737760416817821,14.124613589287263,4.343549107957043,0.30751631402160157,92,3
OTCFM,pc30,14.01140362237968,14.765812206612116,4.736360181914131,0.32076529998080255,92,3
TrajectoryNet,pc30,14.043342557178736,14.237496885373186,5.34131574989863,0.37515834369635587,92,4
MIOFlow,pc30,14.131232981222588,14.80853723762276,4.864645184591386,0.3285027485518425,87,3
