method,embedding,seed,evaluated,path
pdp,X_pca_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s42/eval/eval_combined.csv
pdp,X_pca_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s7/eval/eval_combined.csv
pdp,X_pca_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s1234/eval/eval_combined.csv
pdp,DM_EigenVectors_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s42/eval/eval_combined.csv
pdp,DM_EigenVectors_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s7/eval/eval_combined.csv
pdp,DM_EigenVectors_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s1234/eval/eval_combined.csv
prescient,X_pca_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s42/eval/eval_combined.csv
prescient,X_pca_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s7/eval/eval_combined.csv
prescient,X_pca_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s1234/eval/eval_combined.csv
prescient,DM_EigenVectors_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s42/eval/eval_combined.csv
prescient,DM_EigenVectors_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s7/eval/eval_combined.csv
prescient,DM_EigenVectors_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s1234/eval/eval_combined.csv
otcfm,X_pca_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s42/eval_combined.csv
otcfm,X_pca_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s7/eval_combined.csv
otcfm,X_pca_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s1234/eval_combined.csv
otcfm,DM_EigenVectors_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s42/eval_combined.csv
otcfm,DM_EigenVectors_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s7/eval_combined.csv
otcfm,DM_EigenVectors_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s1234/eval_combined.csv
sf2m,X_pca_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s42/eval_combined.csv
sf2m,X_pca_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s7/eval_combined.csv
sf2m,X_pca_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s1234/eval_combined.csv
sf2m,DM_EigenVectors_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s42/eval_combined.csv
sf2m,DM_EigenVectors_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s7/eval_combined.csv
sf2m,DM_EigenVectors_scaled,1234,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s1234/eval_combined.csv
deepruot,X_pca_scaled,42,False,
deepruot,X_pca_scaled,7,False,
deepruot,X_pca_scaled,1234,False,
deepruot,DM_EigenVectors_scaled,42,False,
deepruot,DM_EigenVectors_scaled,7,False,
deepruot,DM_EigenVectors_scaled,1234,False,
scdiffeq,X_pca_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/pca30_fp_vr_s42/eval/fate_prediction_metrics/epoch_99.step_400/eval_combined.csv
scdiffeq,X_pca_scaled,7,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/pca30_fp_vr_s7/eval/fate_prediction_metrics/epoch_99.step_400/eval_combined.csv
scdiffeq,X_pca_scaled,1234,False,
scdiffeq,DM_EigenVectors_scaled,42,True,/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/dm9_fp_vr_s42/eval/fate_prediction_metrics/epoch_99.step_400/eval_combined.csv
scdiffeq,DM_EigenVectors_scaled,7,False,
scdiffeq,DM_EigenVectors_scaled,1234,False,
