method,embedding,sim_mode,accuracy_mean,pearson_r_mean,w2_scaled_mean,w2_scaled_std,w2_raw_mean,n_seeds
otcfm,DM_EigenVectors_scaled,ode,0.33618233618233617,0.7272982020087074,1.971577503403817,0.06764902509458401,1.9522530319796767,3
sf2m,DM_EigenVectors_scaled,sde,0.2307692307692307,0.6484042737321888,2.0458067332128387,0.15317712096877878,0.013436442805023601,3
sf2m,DM_EigenVectors_scaled,ode,0.21937321937321932,0.5861044242625532,2.065969580606098,0.1276076739995032,0.013567515303441033,3
prescient,DM_EigenVectors_scaled,sde,0.28490028490028485,0.5605971215627586,3.57311017214334,0.09489748840914326,0.024194957150621737,3
scdiffeq,DM_EigenVectors_scaled,sde,0.3675213675213675,0.7088554632884219,5.021943019082516,,0.0312881061950057,1
pdp,DM_EigenVectors_scaled,ode,0.07407407407407403,0.002967049799006069,11.741813422678474,0.3746354420280059,0.07887743043728954,3
pdp,DM_EigenVectors_scaled,sde,0.06552706552706547,0.011334142016562167,12.467137333557346,0.5383656444393166,0.08393586240764946,3
pdp,DM_EigenVectors_scaled,sb,0.09971509971509969,0.09980005906741769,15.71223672084038,0.3255806269439321,0.10560837654698178,3
otcfm,X_pca_scaled,ode,0.3675213675213675,0.708855463288422,5.256759034897281,0.1031456570101055,20.212775642327085,3
sf2m,X_pca_scaled,sde,0.21937321937321932,0.6843348272345384,5.2686610753741006,0.03513377544293189,20.466221978070894,3
sf2m,X_pca_scaled,ode,0.2051282051282051,0.6765644208205046,5.313924707737845,0.036360304713321315,20.631347109348617,3
prescient,X_pca_scaled,sde,0.20797720797720795,0.6634413151983108,6.182831517091319,0.1537397372182217,26.28339556170442,3
pdp,X_pca_scaled,sde,0.1111111111111111,0.2992232247699039,8.357131568147212,2.372425825493349,53.14032611025513,3
pdp,X_pca_scaled,ode,0.11111111111111106,0.244698390357149,8.370338163996971,2.3517072043855953,53.246724271824284,3
scdiffeq,X_pca_scaled,sde,0.34615384615384615,0.7059458918362661,9.150386639816219,0.6945555630273527,55.28196246450251,2
pdp,X_pca_scaled,sb,0.34188034188034183,0.6770702474887343,14.886389864003393,2.3348492190917827,95.66289624237281,3
