method,embedding,seed,sim_mode,accuracy,pearson_r,w2_scaled,w2_raw
pdp,X_pca_scaled,42,ode,0.1282051282051282,0.4650520813704469,10.385641044081416,72.16760414831353
pdp,X_pca_scaled,42,sde,0.1452991452991453,0.5438883756081947,10.373168866318125,72.14085957369488
pdp,X_pca_scaled,42,sb,0.3162393162393162,0.5712757416374585,16.769117772037397,111.04351861094112
pdp,X_pca_scaled,7,ode,0.1025641025641025,0.4002309482525084,8.938898163229831,56.71458845843927
pdp,X_pca_scaled,7,sde,0.1111111111111111,0.4313243149881023,8.955381734284039,56.650318152725625
pdp,X_pca_scaled,7,sb,0.3675213675213675,0.6905204310289397,15.61625976379798,104.5952353899968
pdp,X_pca_scaled,1234,ode,0.1025641025641025,-0.1311878585515083,5.786475284679669,30.857980208720047
pdp,X_pca_scaled,1234,sde,0.0769230769230769,-0.0775430162865854,5.742844103839474,30.62980060434488
pdp,X_pca_scaled,1234,sb,0.3418803418803419,0.7694145697998049,12.2737920561748,71.34993472618049
pdp,DM_EigenVectors_scaled,42,ode,0.0769230769230769,-0.0423475070018252,11.33902577573569,0.0763189669469191
pdp,DM_EigenVectors_scaled,42,sde,0.0683760683760683,-0.0124845515981417,11.874604138507316,0.0800525595530317
pdp,DM_EigenVectors_scaled,42,sb,0.0769230769230769,0.0057005360451304,15.38062989135585,0.103248691070333
pdp,DM_EigenVectors_scaled,7,ode,0.0683760683760683,-0.0656585951476192,12.079857522498804,0.0805971776955401
pdp,DM_EigenVectors_scaled,7,sde,0.0427350427350427,0.0178263650639301,12.600566967571575,0.0843235937025555
pdp,DM_EigenVectors_scaled,7,sb,0.1111111111111111,0.089665369732924,15.724643826563756,0.1047450043037507
pdp,DM_EigenVectors_scaled,1234,ode,0.0769230769230769,0.1169072515464626,11.806556969800925,0.0797161466694094
pdp,DM_EigenVectors_scaled,1234,sde,0.0854700854700854,0.0286606125838981,12.926240894593144,0.0874314339673612
pdp,DM_EigenVectors_scaled,1234,sb,0.1111111111111111,0.2040342714241987,16.031436444601532,0.1088314342668616
prescient,X_pca_scaled,42,sde,0.1709401709401709,0.6459586727634585,6.315041713783187,28.35932097444987
prescient,X_pca_scaled,7,sde,0.2136752136752136,0.6744085677690349,6.014128881163087,23.78293570737915
prescient,X_pca_scaled,1234,sde,0.2393162393162393,0.6699567050624392,6.219323956327683,26.70793000328424
prescient,DM_EigenVectors_scaled,42,sde,0.2478632478632478,0.5692975842448733,3.5897496458217444,0.0242763785942354
prescient,DM_EigenVectors_scaled,7,sde,0.2393162393162393,0.522067243431613,3.4709934244608136,0.0235049862472384
prescient,DM_EigenVectors_scaled,1234,sde,0.3675213675213675,0.5904265370117897,3.658587446147463,0.0248035066103914
otcfm,X_pca_scaled,42,ode,0.3675213675213675,0.7088554632884219,5.370452838829576,20.390700003870077
otcfm,X_pca_scaled,7,ode,0.3675213675213675,0.7088554632884219,5.1691824116405005,19.664967200872898
otcfm,X_pca_scaled,1234,ode,0.3675213675213675,0.7088554632884219,5.230641854221768,20.58265972223828
otcfm,DM_EigenVectors_scaled,42,ode,0.358974358974359,0.7370418261825431,1.901998875481984,1.8925355757184967
otcfm,DM_EigenVectors_scaled,7,ode,0.3333333333333333,0.7285071643065274,1.9756178092728616,1.9548563183839571
otcfm,DM_EigenVectors_scaled,1234,ode,0.3162393162393162,0.7163456155370517,2.0371158254566053,2.0093672018365765
sf2m,X_pca_scaled,42,ode,0.188034188034188,0.6618340172871954,5.2871771391384295,20.68382484348432
sf2m,X_pca_scaled,42,sde,0.2136752136752136,0.6835033874680969,5.2473454936726975,20.65760856159098
sf2m,X_pca_scaled,7,ode,0.1623931623931624,0.6344161186429357,5.355325219269969,20.32406907772067
sf2m,X_pca_scaled,7,sde,0.1794871794871795,0.6385089153553307,5.30921228789952,20.08564544859096
sf2m,X_pca_scaled,1234,ode,0.2649572649572649,0.733443126531383,5.2992717648051375,20.886147406840863
sf2m,X_pca_scaled,1234,sde,0.2649572649572649,0.7309921788801875,5.249425444550085,20.65541192403075
sf2m,DM_EigenVectors_scaled,42,ode,0.2222222222222222,0.5632779016628943,2.037080325775761,0.0133989870613524
sf2m,DM_EigenVectors_scaled,42,sde,0.2307692307692307,0.6446296043471593,2.0148382243362155,0.013244051284072
sf2m,DM_EigenVectors_scaled,7,ode,0.1965811965811965,0.669174019111252,1.9552831699848368,0.0127438442349235
sf2m,DM_EigenVectors_scaled,7,sde,0.2307692307692307,0.7201234170983384,1.9104800332023677,0.0124468825955163
sf2m,DM_EigenVectors_scaled,1234,ode,0.2393162393162393,0.525861352013513,2.205545246057696,0.0145597146140472
sf2m,DM_EigenVectors_scaled,1234,sde,0.2307692307692307,0.5804597997510688,2.212101942099933,0.0146183945354825
scdiffeq,X_pca_scaled,42,sde,0.3247863247863248,0.7030363203841103,8.659261691288737,47.56208801570267
scdiffeq,X_pca_scaled,7,sde,0.3675213675213675,0.7088554632884219,9.6415115883437,63.00183691330236
scdiffeq,DM_EigenVectors_scaled,42,sde,0.3675213675213675,0.7088554632884219,5.021943019082516,0.0312881061950057
