,Baso,Ccr7_DC,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,pDC,clone_id,13k_cb
13199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_1626,13199
13210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5039,13210
13226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_4810,13226
13235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_861,13235
13256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_1161,13256
13258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_2757,13258
13259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_566,13259
13260,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_3627,13260
13266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1949,13266
13274,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,Clone_5070,13274
13291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4836,13291
13300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1909,13300
13302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1655,13302
13313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3260869565217391,0.6739130434782609,0.0,Clone_4141,13313
13314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_2448,13314
13322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4054,13322
13341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_336,13341
13350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1949,13350
13352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_80,13352
13353,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Clone_1304,13353
13361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1909,13361
13366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4581,13366
13371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1110,13371
13375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Clone_960,13375
13389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_1221,13389
13401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4991,13401
13407,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Clone_1557,13407
13418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4232,13418
13419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_5510,13419
13434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_783,13434
13437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4020,13437
13456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4236,13456
13463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Clone_5442,13463
13483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_3696,13483
13484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.5714285714285714,0.0,Clone_3425,13484
13489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4866,13489
13495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.8571428571428571,0.0,Clone_2693,13495
13498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_2919,13498
13512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_725,13512
13523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_116,13523
13525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,Clone_1452,13525
13526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3024,13526
13558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5340,13558
13562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_2757,13562
13567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5672,13567
13592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4836,13592
13609,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,Clone_5461,13609
13611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,Clone_2196,13611
13614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_4323,13614
13616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_3959,13616
13621,0.027027027027027,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.3513513513513513,0.5945945945945946,0.0,Clone_3529,13621
13639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1949,13639
13642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4877,13642
13652,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,Clone_1062,13652
13656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4414,13656
13663,0.1176470588235294,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,Clone_3654,13663
13678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4778,13678
13681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,Clone_794,13681
13697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3424,13697
13719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Clone_1664,13719
13725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4802,13725
13742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,Clone_1861,13742
13752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_5751,13752
13760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_529,13760
13763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4647,13763
13765,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Clone_1648,13765
13769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,0.0,Clone_333,13769
13780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.8571428571428571,0.0,Clone_4211,13780
13786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4581,13786
13803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_563,13803
13816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.631578947368421,0.0,Clone_704,13816
13817,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Clone_3103,13817
13824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_535,13824
13827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1923,13827
13839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5176,13839
13842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_4839,13842
13876,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,Clone_5721,13876
13879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_260,13879
13880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_2919,13880
13882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_5445,13882
13887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3762,13887
13892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3647,13892
13895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_4810,13895
13897,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,Clone_5721,13897
13911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4096,13911
13913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_1706,13913
13933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4232,13933
13940,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,Clone_1925,13940
13941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0,Clone_737,13941
13964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_31,13964
13966,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,Clone_5461,13966
13981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.8571428571428571,0.0,Clone_4211,13981
13989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_4541,13989
13991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_2217,13991
14007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Clone_464,14007
14009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3272,14009
14011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_1087,14011
14018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.1176470588235294,0.0,Clone_2042,14018
14019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_4052,14019
14020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_407,14020
14038,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,Clone_2145,14038
14040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,Clone_2634,14040
14061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_3739,14061
14076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clone_3110,14076
14087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3674,14087
14089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5492,14089
14097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_5052,14097
14099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Clone_3169,14099
14106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_1984,14106
14125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Clone_4671,14125
14128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clone_3513,14128
