task_id	method	embedding	seed	outdir
0	pdp	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s42
1	pdp	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s7
2	pdp	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/X_pca_scaled_s1234
3	pdp	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s42
4	pdp	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s7
5	pdp	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/pdp/DM_EigenVectors_scaled_s1234
6	prescient	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s42
7	prescient	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s7
8	prescient	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/X_pca_scaled_s1234
9	prescient	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s42
10	prescient	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s7
11	prescient	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/prescient/DM_EigenVectors_scaled_s1234
12	otcfm	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s42
13	otcfm	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s7
14	otcfm	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/X_pca_scaled_s1234
15	otcfm	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s42
16	otcfm	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s7
17	otcfm	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/otcfm/DM_EigenVectors_scaled_s1234
18	sf2m	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s42
19	sf2m	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s7
20	sf2m	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/X_pca_scaled_s1234
21	sf2m	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s42
22	sf2m	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s7
23	sf2m	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/sf2m/DM_EigenVectors_scaled_s1234
24	deepruot	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/X_pca_scaled_s42
25	deepruot	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/X_pca_scaled_s7
26	deepruot	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/X_pca_scaled_s1234
27	deepruot	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/DM_EigenVectors_scaled_s42
28	deepruot	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/DM_EigenVectors_scaled_s7
29	deepruot	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/deepruot/DM_EigenVectors_scaled_s1234
30	scdiffeq	X_pca_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/X_pca_scaled_s42
31	scdiffeq	X_pca_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/X_pca_scaled_s7
32	scdiffeq	X_pca_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/X_pca_scaled_s1234
33	scdiffeq	DM_EigenVectors_scaled	42	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/DM_EigenVectors_scaled_s42
34	scdiffeq	DM_EigenVectors_scaled	7	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/DM_EigenVectors_scaled_s7
35	scdiffeq	DM_EigenVectors_scaled	1234	/rds/user/wz369/hpc-work/PINN_dynamics/logs/cordblood/scdiffeq/DM_EigenVectors_scaled_s1234
